City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arlit,NE,82.0,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
3,Kalmunai,LK,81.45,broken clouds,7.42,81.82,VS Villa
5,Coihaique,CL,77.0,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
11,Hobyo,SO,81.34,clear sky,5.35,48.53,Osmani Hotel
15,Atuona,PF,77.85,light rain,-9.8,-139.03,Villa Enata
17,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
24,Hithadhoo,MV,83.43,moderate rain,-0.6,73.08,Scoop Guest House
27,Sinnamary,GF,85.35,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
31,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
33,Viedma,AR,86.0,clear sky,-40.81,-63.0,Hotel Cristal
34,San Carlos,VE,81.39,moderate rain,9.66,-68.58,Hotel Paternopoli
37,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
44,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
48,Fonte Boa,BR,86.54,broken clouds,-2.5,-66.27,
58,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
61,Tubuala,PA,84.2,scattered clouds,9.52,-79.03,
62,Agutaya,PH,82.6,light rain,11.15,120.94,
63,Harper,LR,79.21,broken clouds,4.38,-7.72,Screensaver
67,Bairiki,KI,80.6,broken clouds,1.33,172.98,Tarawa Boutique Hotel
69,Bengkulu,ID,75.38,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
70,Cottonwood,US,80.01,broken clouds,34.74,-112.01,AZ Pines Motel
75,Auki,SB,77.45,broken clouds,-8.77,160.7,Auki Motel
81,Atambua,ID,75.29,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
85,Butaritari,KI,81.68,broken clouds,3.07,172.79,Isles Sunset Lodge
92,Aitape,PG,78.57,heavy intensity rain,-3.14,142.35,
94,Hilo,US,75.99,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
95,Kaputa,ZM,76.12,light rain,-8.47,29.66,Chelelwa Charlets
98,Rawson,AR,88.14,clear sky,-43.3,-65.1,Hotel Punta León
105,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
107,Alugan,PH,77.38,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
108,Omboue,GA,75.27,light rain,-1.57,9.26,Hotel Olako
110,Koungou,YT,77.0,clear sky,-12.73,45.2,Villa Netibor
113,Port Blair,IN,80.58,broken clouds,11.67,92.75,Fortune Resort Bay Island
114,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
116,Guerrero Negro,MX,79.45,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
120,Acapulco,MX,86.5,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
122,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
123,Nueva Granada,CO,83.25,light rain,9.8,-74.39,finca villa restrepo
131,Taoudenni,ML,83.44,scattered clouds,22.68,-3.98,
134,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
140,Cabinda,AO,78.67,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
157,Lompoc,US,75.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
160,Buala,SB,80.62,light rain,-8.14,159.59,Maringe Lagoon Lodge
170,Lamu,KE,78.8,clear sky,-2.27,40.9,Lamu House
173,Pemangkat,ID,80.13,light rain,1.17,108.97,Kost H.Syamsuddin
177,Chauk,MM,77.07,broken clouds,20.88,94.82,Bo Khin Guest House
179,La Palma,US,75.0,haze,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
182,Boa Vista,BR,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
185,Sao Filipe,CV,80.08,clear sky,14.9,-24.5,Tortuga B&B
186,Carutapera,BR,87.26,scattered clouds,-1.2,-46.02,Lidera
189,Buchanan,LR,79.7,light rain,5.88,-10.05,Kamaneahn Hotel Inc
191,Faanui,PF,79.21,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
193,Panji,ID,75.96,moderate rain,-7.73,114.1,ZAKI YAMAHA SITUBONDO
194,Gao,ML,85.19,broken clouds,16.64,1.64,
195,Paraiso,CR,78.8,scattered clouds,9.84,-83.87,Rinconcito Verde
198,Paracuru,BR,82.0,scattered clouds,-3.41,-39.03,Hotel Vento Brasil
212,Champerico,GT,87.8,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
219,Mogadishu,SO,80.13,light rain,2.04,45.34,Hotel Juba
224,Acajutla,SV,87.8,few clouds,13.59,-89.83,Stop.
232,Nacala,MZ,78.03,scattered clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
237,Hambantota,LK,79.63,few clouds,6.12,81.12,Bungalow 63
241,Daru,PG,80.71,overcast clouds,-9.08,143.21,New century hotel
248,Mattru,SL,79.34,scattered clouds,7.62,-11.83,Boima Gbondo's Compound
249,Kutum,SD,80.11,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
252,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
259,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
264,Victoria,HK,75.0,scattered clouds,22.29,114.16,Mini Hotel Central
265,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
