City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torbay,CA,47.67,-52.73,43.0,48,40,17.22,scattered clouds
1,Halifax,CA,44.65,-63.57,51.01,66,37,20.8,scattered clouds
2,Arlit,NE,18.74,7.39,82.0,17,78,18.84,broken clouds
3,Kalmunai,LK,7.42,81.82,81.45,72,57,4.83,broken clouds
4,Cherskiy,RU,68.75,161.3,7.23,95,98,8.52,overcast clouds
5,Coihaique,CL,-45.58,-72.07,77.0,23,0,4.7,clear sky
6,Ushuaia,AR,-54.8,-68.3,59.0,54,75,4.7,light rain
7,Krasnoselkup,RU,65.7,82.47,28.26,98,98,17.65,overcast clouds
8,Severo-Kurilsk,RU,50.68,156.12,40.5,76,1,3.33,clear sky
9,Longyearbyen,SJ,78.22,15.64,32.0,93,40,24.16,scattered clouds
10,Barrow,US,71.29,-156.79,28.4,74,75,17.22,snow
11,Hobyo,SO,5.35,48.53,81.34,75,1,8.95,clear sky
12,Svetlyy,RU,54.67,20.13,46.4,81,75,11.18,broken clouds
13,Poya,NC,-21.35,165.15,72.0,80,0,6.58,clear sky
14,Presidente Medici,BR,-11.18,-61.9,94.48,36,50,3.96,scattered clouds
15,Atuona,PF,-9.8,-139.03,77.85,79,22,16.2,light rain
16,Mahebourg,MU,-20.41,57.7,71.6,64,40,10.29,scattered clouds
17,Bathsheba,BB,13.22,-59.52,86.0,74,40,21.92,shower rain
18,Hualmay,PE,-11.1,-77.61,69.3,63,34,10.31,scattered clouds
19,Narsaq,GL,60.92,-46.05,26.6,68,33,4.7,scattered clouds
20,Saskylakh,RU,71.92,114.08,-10.8,87,77,10.02,broken clouds
21,Jijiga,ET,9.35,42.8,62.64,69,0,12.21,clear sky
22,East London,ZA,-33.02,27.91,62.6,88,75,11.41,broken clouds
23,Rikitea,PF,-23.12,-134.97,74.93,84,42,15.64,light rain
24,Hithadhoo,MV,-0.6,73.08,83.43,73,100,11.63,moderate rain
25,Bredasdorp,ZA,-34.53,20.04,64.4,88,0,8.05,clear sky
26,Tiznit,MA,29.58,-9.5,74.16,26,0,2.71,clear sky
27,Sinnamary,GF,5.38,-52.95,85.35,67,100,11.41,light rain
28,Thompson,CA,55.74,-97.86,19.4,85,90,10.29,light snow
29,Albany,US,42.6,-73.97,48.99,73,99,3.0,overcast clouds
30,Ponta Do Sol,PT,32.67,-17.1,71.01,88,20,6.93,few clouds
31,Puerto Ayora,EC,-0.74,-90.35,78.8,69,75,20.8,broken clouds
32,Hamilton,US,39.18,-84.53,52.0,29,40,25.28,scattered clouds
33,Viedma,AR,-40.81,-63.0,86.0,19,0,5.01,clear sky
34,San Carlos,VE,9.66,-68.58,81.39,87,96,2.46,moderate rain
35,New Norfolk,AU,-42.78,147.06,53.01,76,99,1.63,overcast clouds
36,Najran,SA,17.49,44.13,68.0,24,0,8.05,clear sky
37,Saldanha,ZA,-33.01,17.94,78.8,24,0,6.93,clear sky
38,Evensk,RU,61.95,159.23,20.73,92,40,6.22,scattered clouds
39,Bethel,US,41.37,-73.41,51.8,71,90,6.93,moderate rain
40,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds
41,Linhares,BR,-19.39,-40.07,70.59,78,100,7.63,overcast clouds
42,Boras,SE,57.72,12.94,48.99,93,90,16.11,overcast clouds
43,Lata,PT,40.16,-8.33,66.99,89,85,2.01,overcast clouds
44,Avarua,CK,-21.21,-159.78,75.2,94,88,16.11,overcast clouds
45,Opotiki,NZ,-38.08,177.28,54.0,85,83,1.01,broken clouds
46,Ardakan,IR,32.31,54.02,62.6,17,0,4.7,clear sky
47,Mataura,NZ,-46.19,168.86,48.0,79,71,11.01,broken clouds
48,Fonte Boa,BR,-2.5,-66.27,86.54,58,64,5.59,broken clouds
49,Stony Plain,CA,53.53,-114.0,57.2,35,1,9.17,clear sky
50,Luderitz,NA,-26.65,15.16,68.11,46,15,13.29,few clouds
51,Te Anau,NZ,-45.42,167.72,39.7,87,99,1.68,overcast clouds
52,Fortuna,US,40.6,-124.16,60.8,63,1,3.2,clear sky
53,Broken Hill,AU,-31.95,141.43,60.8,59,0,5.82,clear sky
54,Nishihara,JP,26.18,127.76,71.6,73,20,7.2,few clouds
55,Nanganga,TZ,-10.38,39.15,74.66,79,82,7.61,broken clouds
56,Dikson,RU,73.51,80.55,21.16,98,98,7.63,overcast clouds
57,Busselton,AU,-33.65,115.33,53.01,95,90,6.78,overcast clouds
58,Quelimane,MZ,-17.88,36.89,77.0,88,20,3.36,few clouds
59,Port Alfred,ZA,-33.59,26.89,66.9,77,69,22.68,broken clouds
60,Jamestown,US,42.1,-79.24,46.0,93,90,13.87,mist
61,Tubuala,PA,9.52,-79.03,84.2,74,40,16.11,scattered clouds
62,Agutaya,PH,11.15,120.94,82.6,77,100,16.02,light rain
63,Harper,LR,4.38,-7.72,79.21,84,62,6.69,broken clouds
64,Punta Arenas,CL,-53.15,-70.92,55.4,66,75,14.99,broken clouds
65,Clarence Town,AU,-32.58,151.78,64.99,87,90,9.17,overcast clouds
66,Atlantis,ZA,-33.57,18.48,68.0,76,0,8.05,clear sky
67,Bairiki,KI,1.33,172.98,80.6,78,75,9.17,broken clouds
68,Klaksvik,FO,62.23,-6.59,44.6,93,74,8.05,light rain
69,Bengkulu,ID,-3.8,102.27,75.38,89,100,4.72,overcast clouds
70,Cottonwood,US,34.74,-112.01,80.01,15,57,0.65,broken clouds
71,Kodiak,US,57.79,-152.41,28.4,58,20,8.05,few clouds
72,Chimbote,PE,-9.09,-78.58,66.54,70,99,11.03,overcast clouds
73,Ribeira Grande,PT,38.52,-28.7,64.4,88,75,14.99,light intensity drizzle rain
74,Pevek,RU,69.7,170.31,15.64,89,98,14.18,overcast clouds
75,Auki,SB,-8.77,160.7,77.45,83,69,3.69,broken clouds
76,Mar Del Plata,AR,-38.0,-57.56,68.0,49,20,12.75,few clouds
77,Abbeville,FR,50.1,1.83,64.99,81,95,16.78,overcast clouds
78,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,69,75,16.11,broken clouds
79,Atar,MR,20.52,-13.05,89.94,12,99,11.39,overcast clouds
80,Khonsa,IN,27.02,95.57,63.7,96,40,3.09,light rain
81,Atambua,ID,-9.11,124.89,75.29,79,69,2.84,broken clouds
82,Katsuura,JP,35.13,140.3,59.0,67,40,1.12,scattered clouds
83,College,US,64.86,-147.8,-0.99,75,20,3.36,few clouds
84,Ahipara,NZ,-35.17,173.17,60.08,93,77,5.75,broken clouds
85,Butaritari,KI,3.07,172.79,81.68,77,62,9.17,broken clouds
86,Constitucion,CL,-35.33,-72.42,60.91,70,60,8.08,broken clouds
87,Eatonton,US,33.33,-83.39,68.0,55,86,10.22,overcast clouds
88,Sirsa,IN,29.53,75.02,66.6,23,0,3.06,clear sky
89,Ponta Delgada,PT,37.73,-25.67,69.8,94,40,16.11,scattered clouds
