City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-10-27 02:40:48,-34.53,20.04,64.4,88,47,3.36
1,Mildura,AU,2020-10-27 02:43:17,-34.2,142.15,62.01,77,90,11.41
2,Pacific Grove,US,2020-10-27 02:42:01,36.62,-121.92,59.0,38,1,3.36
3,Hamilton,US,2020-10-27 02:39:06,39.18,-84.53,48.2,81,90,3.36
4,Jamestown,US,2020-10-27 02:40:34,42.1,-79.24,44.01,100,90,2.84
5,Kapaa,US,2020-10-27 02:43:17,22.08,-159.32,73.4,88,90,11.41
6,Cape Town,ZA,2020-10-27 02:43:17,-33.93,18.42,61.0,93,0,5.82
7,Khatanga,RU,2020-10-27 02:43:17,71.97,102.5,2.12,94,89,9.17
8,Nantucket,US,2020-10-27 02:41:38,41.28,-70.1,57.99,95,90,4.7
9,Sao Filipe,CV,2020-10-27 02:43:18,14.9,-24.5,79.21,81,98,10.11
10,Preobrazheniye,RU,2020-10-27 02:43:18,42.9,133.91,52.99,55,100,4.0
11,Albany,US,2020-10-27 02:40:03,42.6,-73.97,51.01,90,100,1.81
12,Amga,RU,2020-10-27 02:43:18,60.9,131.96,24.1,94,100,6.13
13,Hermanus,ZA,2020-10-27 02:43:18,-34.42,19.23,62.01,84,5,1.01
14,Mataura,NZ,2020-10-27 02:43:18,-46.19,168.86,57.99,63,71,8.01
15,Kodiak,US,2020-10-27 02:43:18,57.79,-152.41,48.2,49,1,23.04
16,Avarua,CK,2020-10-27 02:43:18,-21.21,-159.78,71.6,83,100,13.87
17,Leningradskiy,RU,2020-10-27 02:43:19,69.38,178.42,24.82,93,100,15.43
18,Severo-Kurilsk,RU,2020-10-27 02:43:19,50.68,156.12,45.12,81,99,4.25
19,New Norfolk,AU,2020-10-27 02:43:19,-42.78,147.06,59.0,48,75,4.0
20,Atuona,PF,2020-10-27 02:40:41,-9.8,-139.03,78.78,76,49,22.35
